City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
500,Marrakesh,MA,86.07,few clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
502,Sassandra,CI,81.57,overcast clouds,4.95,-6.0833,la terrasse
507,Americana,BR,74.5,overcast clouds,-22.7392,-47.3314,OYO Americana
509,Naliya,IN,83.14,clear sky,23.2667,68.8333,jadeja jayendrasinh
512,Aquiraz,BR,86.09,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
518,Vicuna,CL,82.78,clear sky,-30.0319,-70.7081,Los Mosaicos
521,Santa Rosa,PH,80.58,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
523,Quartucciu,IT,72.03,clear sky,39.2519,9.1794,Best Western Hotel Residence Italia
524,Nageshwari,BD,76.55,scattered clouds,25.9377,89.7148,Harun Villa
525,Mul,IN,89.76,broken clouds,20.0667,79.6667,Taj Mahal
527,Grand-Santi,GF,83.16,light rain,4.25,-54.3833,Hotel La Villa Couacou
529,Yambio,SS,71.92,light rain,4.5721,28.3955,Naivasha Hotel
530,Puerto Suarez,BO,72.16,broken clouds,-18.95,-57.8,Hotel casa real
531,Axim,GH,81.84,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
532,Ribeira Brava,PT,72.23,broken clouds,32.65,-17.0667,Hotel do Campo
535,Sambava,MG,74.61,few clouds,-14.2667,50.1667,Melrose
536,Saint-Leu,RE,71.31,scattered clouds,-21.15,55.2833,La Caz Oceane
539,Pemba,MZ,81.3,broken clouds,-12.974,40.5178,Guesthouse Samotina
543,Tremedal,BR,78.96,overcast clouds,-14.9758,-41.4108,Pousada Estillos
548,Kudahuvadhoo,MV,84.0,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
551,Ruwi,OM,87.49,clear sky,23.5996,58.5507,Al Falaj Hotel
555,Morondava,MG,79.61,broken clouds,-20.2833,44.2833,La Case Bambou
557,Macherla,IN,86.88,clear sky,16.4833,79.4333,Vivek express
559,Dalton,US,82.54,scattered clouds,34.7698,-84.9702,Hampton Inn Dalton
560,Bellegarde-Sur-Valserine,FR,81.21,scattered clouds,46.1079,5.8242,Hôtel Pierre Blanche
563,Sao Felix Do Xingu,BR,85.68,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
564,Salinas,US,78.57,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
568,Tapiramuta,BR,82.58,broken clouds,-11.8472,-40.7914,Hotel Santana
569,Santa Barbara,US,79.34,clear sky,34.7333,-120.0343,Upper Ballard Campground
570,Pasni,PK,83.66,clear sky,25.2631,63.471,Kashmiri Hotal
577,Soyo,AO,78.76,scattered clouds,-6.1349,12.3689,Hotel Mpampa
580,Sao Joao Dos Patos,BR,88.74,overcast clouds,-6.495,-43.7022,Montesino Hotel & Restaurante
587,Bafq,IR,76.46,clear sky,31.6128,55.4107,Alamdar Hotel
589,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
591,Piacabucu,BR,82.11,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
592,Inhambane,MZ,71.58,few clouds,-23.865,35.3833,Oceano
594,Kilindoni,TZ,80.6,light rain,-7.9139,39.6668,Bustani B&B
597,Freeport,US,78.31,scattered clouds,40.6576,-73.5832,The Freeport Inn and Marina
598,Chandbali,IN,85.28,scattered clouds,20.7833,86.7667,Sabitri Bhavan
600,San Julian,MX,82.13,clear sky,21.0167,-102.1667,La Nueva España
605,Nortelandia,BR,89.24,broken clouds,-14.4547,-56.8028,Hotel Karysmã
606,Rodrigues Alves,BR,82.6,broken clouds,-7.738,-72.6509,Pousada Aconchego
610,San Jose,US,75.92,few clouds,37.3394,-121.895,The Westin San Jose
612,Warri,NG,79.52,light rain,5.5167,5.75,BON Hotel Delta
621,Tandalti,SD,87.01,broken clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
622,Porto Novo,BJ,85.82,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
623,Woodstock,CA,82.81,scattered clouds,43.1334,-80.7497,"Holiday Inn Express & Suites Woodstock South, an IHG Hotel"
624,Ballina,AU,70.79,few clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
628,Beyneu,KZ,72.3,clear sky,45.3167,55.2,NUR
629,Oistins,BB,84.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
631,Colonia,DE,77.83,clear sky,50.9333,6.95,Mauritius Hotel & Therme
634,San Ramon,US,79.65,clear sky,37.7799,-121.978,San Ramon Marriott
636,Ardakan,IR,76.5,clear sky,32.31,54.0175,Ardakan Hotel
639,Punta Cardon,VE,85.32,overcast clouds,11.6581,-70.215,Bambuda hotel
640,Sinazongwe,ZM,71.01,clear sky,-17.2614,27.4618,Lakeview Lodge
641,Puerto Leguizamo,CO,76.51,overcast clouds,-0.1934,-74.7819,la casona de juancho
645,Antalaha,MG,71.22,clear sky,-14.9003,50.2788,Hotel Vitasoa
647,Mogadishu,SO,80.67,scattered clouds,2.0371,45.3438,Hotel Juba
649,Samana,DO,86.22,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
659,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
661,Mariakani,KE,72.93,clear sky,-3.8633,39.4736,The County Luxury Comfort Hotels Ltd
663,Andros Town,BS,82.36,clear sky,24.7,-77.7667,Hanks place
664,Sabha,LY,79.52,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
669,Lethem,GY,88.52,overcast clouds,3.3803,-59.7968,Savannah Inn
670,Cumaral,CO,82.71,broken clouds,4.2708,-73.4867,Finca El Jecho
