City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,Lebu,-37.6167,-73.65,53.08,85,23,5.26,CL,2022-05-06 00:17:05
138,Bonavista,48.6499,-53.1147,39.6,97,100,13.15,CA,2022-05-06 00:17:05
139,Paamiut,61.994,-49.6678,31.86,74,100,8.81,GL,2022-05-06 00:17:05
140,Lagoa,39.05,-27.9833,62.08,86,100,28.74,PT,2022-05-06 00:17:06
141,Barcelona,41.3888,2.159,61.77,78,20,3.44,ES,2022-05-06 00:17:06
142,Georgetown,5.4112,100.3354,82.33,83,20,3.44,MY,2022-05-06 00:15:18
143,Santa Isabel Do Rio Negro,-0.4139,-65.0192,74.44,95,50,1.66,BR,2022-05-06 00:17:07
144,Harer,9.3094,42.1258,59.43,78,13,2.51,ET,2022-05-06 00:17:07
145,Sao Joao Dos Patos,-6.495,-43.7022,75.04,74,20,3.11,BR,2022-05-06 00:17:08
146,Haines Junction,60.7522,-137.5108,48.15,34,100,12.66,CA,2022-05-06 00:17:08
147,Aklavik,68.2191,-135.0107,30.47,82,100,14.65,CA,2022-05-06 00:17:09
148,Luz,-19.8014,-45.6856,63.43,83,17,1.97,BR,2022-05-06 00:17:09
149,Sao Joao Da Barra,-21.6403,-41.0511,73.87,89,72,8.63,BR,2022-05-06 00:17:10
150,Viedma,-40.8135,-62.9967,57.43,64,71,2.82,AR,2022-05-06 00:17:10
151,Karratha,-20.7377,116.8463,74.73,38,0,21.16,AU,2022-05-06 00:17:11
152,Souillac,-20.5167,57.5167,75.36,82,76,20.56,MU,2022-05-06 00:17:11
153,Tilichiki,60.4667,166.1,31.06,86,91,12.66,RU,2022-05-06 00:17:12
154,Waipawa,-41.4122,175.5153,62.47,68,5,1.36,NZ,2022-05-06 00:17:12
155,Portland,45.5234,-122.6762,58.98,89,75,8.99,US,2022-05-06 00:15:43
156,Vilyuysk,63.7553,121.6247,32.52,91,100,2.86,RU,2022-05-06 00:17:13
157,Ponta Do Sol,32.6667,-17.1,63.72,72,67,4.12,PT,2022-05-06 00:17:13
158,Nyuksenitsa,60.4128,44.2397,28.92,91,66,4.72,RU,2022-05-06 00:17:14
159,Ajdabiya,30.7554,20.2263,71.01,29,0,14.38,LY,2022-05-06 00:17:14
160,Arraial Do Cabo,-22.9661,-42.0278,74.44,81,20,21.3,BR,2022-05-06 00:17:15
161,Anse-Bertrand,16.4721,-61.5078,78.94,100,49,15.41,GP,2022-05-06 00:17:15
162,Salalah,17.0151,54.0924,84.29,79,75,3.44,OM,2022-05-06 00:17:16
163,Acarau,-2.8856,-40.12,76.89,87,44,10.6,BR,2022-05-06 00:17:16
164,Ketchikan,55.3422,-131.6461,48.67,71,75,9.22,US,2022-05-06 00:17:17
165,Yabassi,4.457,9.9682,74.14,97,100,7.2,CM,2022-05-06 00:17:17
166,Kaitangata,-46.2817,169.8464,61.5,64,94,2.62,NZ,2022-05-06 00:17:18
167,Hatillo,18.4863,-66.8254,81.09,83,60,8.99,PR,2022-05-06 00:17:18
168,Alyangula,-13.8483,136.4192,82.74,61,77,19.75,AU,2022-05-06 00:17:19
169,Southbridge,42.0751,-72.0334,62.71,50,100,3.78,US,2022-05-06 00:17:19
170,Aykhal,66.0,111.5,33.44,85,100,16.46,RU,2022-05-06 00:17:19
171,Sidi Ali,36.0998,0.4206,55.83,89,1,6.31,DZ,2022-05-06 00:17:20
172,Phangnga,8.4509,98.5298,78.84,93,100,3.22,TH,2022-05-06 00:17:20
173,Rocha,-34.4833,-54.3333,54.77,84,100,4.9,UY,2022-05-06 00:17:21
174,Ugoofaaru,5.6667,73.0,83.8,73,100,10.51,MV,2022-05-06 00:17:21
175,Ambon,-3.6954,128.1814,84.34,79,20,3.44,ID,2022-05-06 00:17:22
176,Teya,60.3778,92.6267,39.09,78,98,2.48,RU,2022-05-06 00:17:22
177,Metro,-5.1131,105.3067,77.16,90,71,3.47,ID,2022-05-06 00:17:23
178,Yaan,7.3833,8.5667,76.42,84,100,1.54,NG,2022-05-06 00:17:23
179,Jiazi,22.8779,116.067,73.27,78,12,10.16,CN,2022-05-06 00:18:24
180,Rehoboth,-23.3167,17.0833,56.37,35,0,4.27,NA,2022-05-06 00:18:24
181,Beloha,-25.1667,45.05,69.01,77,2,10.29,MG,2022-05-06 00:18:25
182,Gravdal,68.1214,13.5031,40.19,77,100,28.1,NO,2022-05-06 00:18:25
183,Skibbereen,51.55,-9.2667,55.11,97,97,10.27,IE,2022-05-06 00:18:26
184,Kahului,20.8947,-156.47,82.42,71,40,23.02,US,2022-05-06 00:13:57
185,Platonovka,52.7106,41.952,36.12,66,4,5.7,RU,2022-05-06 00:18:26
186,Jaru,-10.4389,-62.4664,72.37,91,14,3.22,BR,2022-05-06 00:18:27
187,Shadegan,30.6497,48.6647,82.35,25,19,15.12,IR,2022-05-06 00:18:27
188,Rajmahal,25.05,87.8333,80.31,73,38,3.13,IN,2022-05-06 00:18:28
189,Narsaq,60.9167,-46.05,35.82,93,100,12.3,GL,2022-05-06 00:18:28
190,Shieli,44.1667,66.75,69.91,46,46,5.82,KZ,2022-05-06 00:18:29
191,Gambo,4.6482,22.2633,70.23,94,89,2.35,CF,2022-05-06 00:18:29
192,Ken Caryl,39.5773,-105.1169,70.88,24,9,10.0,US,2022-05-06 00:18:30
193,Whyalla,-33.0333,137.5833,53.49,71,40,3.44,AU,2022-05-06 00:18:30
194,Hobyo,5.3505,48.5268,82.76,79,4,19.98,SO,2022-05-06 00:18:30
195,Vila Franca Do Campo,37.7167,-25.4333,67.19,79,100,12.5,PT,2022-05-06 00:18:31
196,Doka,13.5167,35.7667,87.24,35,82,10.51,SD,2022-05-06 00:18:31
197,Dzilam Gonzalez,21.2833,-88.9333,88.79,51,77,7.67,MX,2022-05-06 00:18:32
