City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Hofn,IS,64.2539,-15.2082,47.26,88,96,2.1,overcast clouds
333,Camacha,PT,33.0833,-16.3333,67.42,73,0,11.5,clear sky
334,La Rioja,ES,42.25,-2.5,69.58,57,89,1.5,overcast clouds
335,Nouadhibou,MR,20.931,-17.0347,80.58,54,100,18.41,sand
336,Arlit,NE,18.7369,7.3853,95.88,11,3,13.71,clear sky
337,Naxos,GR,37.1056,25.3764,72.99,60,0,7.49,clear sky
338,Hualmay,PE,-11.0964,-77.6139,68.23,71,50,8.14,scattered clouds
339,Rincon,US,32.296,-81.2354,84.94,51,40,5.75,scattered clouds
340,Asaka,JP,35.8047,139.6019,60.8,85,100,8.75,moderate rain
341,Gurdaha,IN,22.7347,88.7594,90.09,72,75,13.82,broken clouds
342,Kumluca,TR,36.3703,30.2869,70.18,61,11,4.63,few clouds
343,Urengoy,RU,65.9667,78.3667,48.88,95,100,3.31,overcast clouds
344,Jawhar,SO,2.7809,45.5005,78.42,75,41,12.71,scattered clouds
345,Sechura,PE,-5.5569,-80.8222,75.51,60,99,10.02,overcast clouds
